周期,平均功率(W),周期末浮子位移(m),周期末振子位移(m)
1,45.99015154,-0.1352354507,-0.1691044605
2,215.283387,-0.4515434011,-0.5125386883
3,438.0674468,-0.7198644226,-0.7886032617
4,531.0236411,-0.7743151611,-0.8291593606
5,452.7535284,-0.6095973456,-0.6408741743
6,288.4359897,-0.3620659638,-0.3766228984
7,141.5338286,-0.2023544691,-0.2168585512
8,89.77295083,-0.2208961957,-0.2497518661
9,158.9581599,-0.3809352374,-0.4273375662
10,289.8456264,-0.5598510919,-0.6152906816
11,378.5509244,-0.6399425047,-0.6913047628
12,369.4063452,-0.5834203653,-0.6220582194
13,286.4170511,-0.4455887696,-0.4722609295
14,191.4705754,-0.326337411,-0.3494121764
15,141.0552443,-0.2997146556,-0.328730916
16,161.3958632,-0.3699119659,-0.4092832253
17,231.7391031,-0.4782860835,-0.5251756748
18,297.1551958,-0.5498046182,-0.5969580437
19,313.3004733,-0.5435685868,-0.5845923665
20,277.6377726,-0.4743608411,-0.5077134707
21,220.8251419,-0.3953959228,-0.4247040632
22,180.3280182,-0.358759393,-0.3897671557
23,179.0774824,-0.3820759564,-0.4186571088
24,213.2933697,-0.4419710056,-0.4838984365
25,255.6934498,-0.4948025738,-0.5384647267
26,276.5889932,-0.5075405595,-0.5487342715
27,265.4516901,-0.4775276361,-0.5142428711
28,234.3377658,-0.4299629403,-0.4633700726
29,205.5815746,-0.3978251968,-0.4310800866
30,196.819342,-0.3995865827,-0.4355252796
31,211.1058815,-0.4293537291,-0.4687134678
32,236.1408813,-0.4640461769,-0.5052832871
33,253.904581,-0.4806269145,-0.5212265893
34,253.7746559,-0.4709082041,-0.5091364809
35,238.4836482,-0.4447504274,-0.480660416
36,219.9399161,-0.4212117562,-0.4563608847
37,210.3074234,-0.4150150996,-0.4512544753
38,214.5400975,-0.4276849033,-0.46592825
39,228.0702471,-0.4484029041,-0.488169441
40,240.7980229,-0.4626807138,-0.5025982296
稳态成立周期_功率判据,未在40周期内收敛
稳态成立周期_状态判据,未在40周期内收敛
